name,birth date
Davor Rogić?action=edit&redlink=1,
Kenneth Rogoff,1953-03-22
Vladimir Rogovski?action=edit&redlink=1,
Dorian Rogozenco,1973-08-18
Michael Rohde (chess player),
Michael Roiz,1983-10-12
Vladimir Romanenko (chess player)?action=edit&redlink=1,
Oleg Romanishin,1952-01-10
Evgeny Romanov (chess player),1988-11-02
Axel Rombaldoni?action=edit&redlink=1,
Alfonso Romero Holmes,1965-05-28
Héctor Rossetto,1922-09-08
Nicolas Rossolimo,
Arkadij Rotstein?action=edit&redlink=1,
Thomas Roussel-Roozmon?action=edit&redlink=1,
Jonathan Rowson,1977-04-18
Saptarshi Roy?action=edit&redlink=1,
Saptarshi Roy Chowdhury?action=edit&redlink=1,
Eduardas Rozentalis,1963-05-27
Ivan Rozum?action=edit&redlink=1,
Vadim Ruban?action=edit&redlink=1,
Akiba Rubinstein,1880-12-01
Sergei Rublevsky,1974-10-15
Joshua Ruiz,1997-07-08
Róbert Ruck,1977-12-10
Krasimir Rusev?action=edit&redlink=1,
Alexander Rustemov,1973-07-06
Darius Ruželė,1968-04-27
Andrey Rychagov?action=edit&redlink=1,
Mikhail Rychagov,1967-11-12
Raunak Sadhwani,2005-12-22
Matthew Sadler,1974-05-15
Ulvi Sadikhov?action=edit&redlink=1,
Julio Sadorra,1986-09-14
Darmen Sadvakasov,1979-04-28
Daniel Sadzikowski,1994-01-20
Eltaj Safarli,1992-05-18
Shukhrat Safin,
Gennadij Sagalchik,1969-04-22
Dragutin Sahović,
Jaroslav Šajtar,1921-12-03
Konstantin Sakaev,1974-04-13
Salem Saleh (chess player),1993-01-04
Iván Salgado López,1991-06-29
Pablo Salinas Herrera,1994-06-03
Johan Salomon,1997-05-07
Valery Salov,1964-05-26
Mihail Saltaev,1962-11-19
Roland Salvador?action=edit&redlink=1,
Bator Sambuev,1980-11-25
Friedrich Sämisch,
Sankalp Gupta?action=edit&redlink=1,
Pablo San Segundo Carrillo,1970-02-09
Vahap Şanal,1998-05-26
Joseph Sánchez (chess player)?action=edit&redlink=1,
Vasile Sănduleac?action=edit&redlink=1,
Raúl Sanguineti,1933-02-02
Tornike Sanikidze,
Yago Santiago?action=edit&redlink=1,
Marc Santo-Roman,1960-09-13
Jaime Santos Latasa,1996-07-03
Miguel Santos Ruiz,1999-10-04
Alexey Sarana,2000-01-26
Gabriel Sargissian,1983-09-03
Shant Sargsyan,2002-01-27
Ante Šarić?action=edit&redlink=1,
Ibro Šarić?action=edit&redlink=1,
Ivan Šarić (chess player),1990-08-17
Krishnan Sasikiran,1981-01-07
Boris Savchenko,1986-07-10
Stanislav Savchenko,1967-01-21
Miodrag Savić?action=edit&redlink=1,
Vladimir Savon,
Gyula Sax,1951-06-18
Lars Schandorff?action=edit&redlink=1,
Gerhard Schebler?action=edit&redlink=1,
Philipp Schlosser?action=edit&redlink=1,
Roland Schmaltz,1974-11-15
Lothar Schmid,1928-05-10
Włodzimierz Schmidt,
Eckhard Schmittdiel,1960-05-13
Casper Schoppen?action=edit&redlink=1,
Jan-Christian Schröder,1998-01-31
Harry Schüssler,1957-06-24
Gabriel Schwartzman,
Marie Sebag,1986-10-15
Matej Šebenik,1983-08-28
Nikola Sedlak,1983-12-13
Narek Seferjan,1974-08-20
Yasser Seirawan,1960-03-24
Daniel Semcesen?action=edit&redlink=1,
Deep Sengupta,1988-06-30
Lajos Seres?action=edit&redlink=1,
Vladimir Sergeev?action=edit&redlink=1,
Dražen Sermek,1969-01-30
Gregory Serper,
S. P. Sethuraman,1993-02-25
Urfan Sevdimaliyev?action=edit&redlink=1,
Samuel Sevian,2000-12-26
Enrico Sevillano,1968-03-17
Alexander Shabalov,1967-09-12
Yuri Shabanov,
Tal Shaked,1978-02-05
Nikolai Shalnev?action=edit&redlink=1,
Leonid Shamkovich,1923-06-01
Konstantine Shanava?action=edit&redlink=1,
Sam Shankland,1991-10-01
Evgeny Shaposhnikov?action=edit&redlink=1,
Evgeny Sharapov?action=edit&redlink=1,
Dashzegve Sharavdorj?action=edit&redlink=1,
Andrey Shariyazdanov,1976-07-12
John Shaw (chess player),1968-10-16
Andrei Shchekachev?action=edit&redlink=1,
Ruslan Shcherbakov,1969-09-14
Joshua Sheng,
Davit Shengelia?action=edit&redlink=1,
Miron Sher,1952-06-29
Alex Sherzer,1971-02-01
Kirill Shevchenko,2002-09-22
Aleksandr Shimanov,1992-05-08
Sergei Shipov,1966-04-17
Alexei Shirov,1972-07-04
Vadim Shishkin,1969-03-04
Ivan Schitco,2003-01-04
Iuri Shkuro?action=edit&redlink=1,
Aleksandr Shneider?action=edit&redlink=1,
Samy Shoker,1987-08-01
Anton Shomoev?action=edit&redlink=1,
Nigel Short,1965-06-01
Evgeny Shtembuliak,
Veniamen Shtyrenkov?action=edit&redlink=1,
Yury Shulman,1975-04-29
Igor Shvyrjov?action=edit&redlink=1,
Shyam Sundar (chess player)?action=edit&redlink=1,
Luca Shytaj,1986-02-03
Sebastian Siebrecht,1973-04-16
Guðmundur Sigurjónsson,1947-09-25
Vaszilij Sikula?action=edit&redlink=1,
Pavel Šimáček,1979-04-28
Vladimir Simagin,1919-06-21
Mikhail Simantsev?action=edit&redlink=1,
Radoslav Simić?action=edit&redlink=1,
Hrair Simonian,1991-01-08
Amon Simutowe,1982-01-06
Javokhir Sindarov,2005-12-08
Marcel Sisniega Campbell,
Vitaly Sivuk?action=edit&redlink=1,
Sanan Sjugirov,1993-01-31
Pavel Skatchkov?action=edit&redlink=1,
Spyridon Skembris?action=edit&redlink=1,
Jure Škoberne?action=edit&redlink=1,
Dmitriy Skorchenko?action=edit&redlink=1,
Sergio Slipak?action=edit&redlink=1,
Bogdan Śliwa,
Roman Slobodjan,
Sergey Smagin,1958-09-08
Jan Smeets,1985-04-05
Jan Smejkal,1946-03-22
David Smerdon,1984-09-17
Ilya Smirin,1968-01-12
Anton Smirnov (chess player),2001-01-28
Igor Smirnov (chess player)?action=edit&redlink=1,
Pavel Smirnov,1982-04-14
Axel Smith (chess player),1986-06-27
Bryan Smith (chess player),1980-02-26
Vasily Smyslov,1921-03-24
Wesley So,1993-10-09
Bartosz Soćko,1978-11-10
Monika Soćko,1978-03-24
Ram Soffer,
Christophe Sochacki?action=edit&redlink=1,
Andrei Sokolov,1963-03-20
Ivan Sokolov (chess player),1968-06-13
Dragan Šolak,1980-03-30
Maarten Solleveld?action=edit&redlink=1,
Yuri Solodovnichenko?action=edit&redlink=1,
Kenny Solomon,1979-10-08
Evgeniy Solozhenkin,1966-07-31
Andrew Soltis,1947-05-28
Raymond Song,
Francesco Sonis,2002-04-29
Ariel Sorín,1967-04-26
Aleksey Sorokin (chess player)?action=edit&redlink=1,
Maxim Sorokin,
Tomas Sosa?action=edit&redlink=1,
Gennadi Sosonko,1943-05-18
Hugo Spangenberg,
Vasil Spasov (chess player),
Boris Spassky,1937-01-30
Liuben Spassov,1943-03-23
Jon Speelman,1956-10-02
Nikola Spiridonov,1938-02-28
Wouter Spoelman,1990-06-05
Kevin Spraggett,1954-11-10
Jan Michael Sprenger,1982-11-26
Sriram Jha,1976-07-18
Gideon Ståhlberg,1908-01-26
Nikolaus Stanec,
Markus Stangl,1969-04-24
Zvonko Stanojoski,
Stany G.A.,1993-01-22
Ilmārs Starostīts,1979-05-30
Michael Stean,1953-09-04
Antoaneta Stefanova,1979-04-19
Hannes Stefánsson,1972-07-18
Leonid Stein,1934-11-12
Nitzan Steinberg?action=edit&redlink=1,
Héðinn Steingrímsson,1975-01-11
Andrea Stella (chess player)?action=edit&redlink=1,
Daniël Stellwagen,1987-03-01
René Stern?action=edit&redlink=1,
Hrvoje Stević?action=edit&redlink=1,
Jiří Štoček,1977-05-10
Igor Štohl,1964-09-27
Dalibor Stojanović (chess player)?action=edit&redlink=1,
Mihajlo Stojanović?action=edit&redlink=1,
Gösta Stoltz,
Jacek Stopa,
Titas Stremavičius,1998-02-15
Aleksa Striković,1961-05-12
Alexander Stripunsky,1970-08-18
Noël Studer,1996-10-18
Andrey Stukopin?action=edit&redlink=1,
Kirill Stupak,1990-03-16
Raven Sturt,1993-08-01
Zurab Sturua,1959-06-08
Mihai Şubă,1947-06-01
Bharath Subramaniyam,2007-10-17
Alexey Suetin,1926-11-16
Nenad Šulava?action=edit&redlink=1,
Aydin Suleymanli,2005-03-22
Šarūnas Šulskis,1972-11-26
Oleksandr Sulypa?action=edit&redlink=1,
Andrey Sumets?action=edit&redlink=1,
Aaron Summerscale,1969-08-26
Sundararajan Kidambi?action=edit&redlink=1,
Jaime Sunye Neto,1957-05-02
Luis Paulo Supi,1996-10-10
Herman Suradiradja,1947-10-14
Emil Sutovsky,1977-09-19
Duncan Suttles,1945-12-21
Frederik Svane,2004-01-21
Rasmus Svane,1997-05-21
Evgeny Sveshnikov,1950-02-11
Dmitry Svetushkin,1980-07-25
Peter Svidler,1976-06-17
Swapnil Dhopade,1990-10-05
Mishra Swayams?action=edit&redlink=1,
Dariusz Świercz,1994-05-31
Robin Swinkels?action=edit&redlink=1,
Klementy Sychev?action=edit&redlink=1,
Gergely-Andras-Gyula Szabó?action=edit&redlink=1,
Krisztián Szabó (chess player)?action=edit&redlink=1,
László Szabó (chess player),1917-03-19
Péter Székely,
Amin Tabatabaei,2001-02-05
Branko Tadić?action=edit&redlink=1,
Farhad Tahirov?action=edit&redlink=1,
Mark Taimanov,1926-02-07
Mikhail Tal,1936-11-09
Taleb Moussa,1978-07-01
Vladimír Talla?action=edit&redlink=1,
Justin Tan,1997-03-19
Tan Zhongyi,1991-05-29
Andrew Tang,1999-11-29
Aryan Tari,1999-06-04
James Tarjan,
Konstantin Tarlev?action=edit&redlink=1,
Savielly Tartakower,1887-02-21
Marcin Tazbir,1988-08-22
Serik Temirbayev?action=edit&redlink=1,
Hugo Ten Hertog?action=edit&redlink=1,
Samvel Ter-Sahakyan,1993-09-19
Rudolf Teschner,
Henrik Teske?action=edit&redlink=1,
Vitaly Teterev,1983-01-07
M. S. Thejkumar?action=edit&redlink=1,
Nikolas Theodorou,2000-09-17
Pravin Thipsay,1959-08-12
Bragi Thorfinnsson,1981-04-10
Thröstur Thórhallsson,1969-03-19
Jesper Søndergaard Thybo,1999-01-10
Jurij Tihonov?action=edit&redlink=1,
Hans Tikkanen,1985-02-06
Viacheslav Tilicheev,1994-07-17
Jan Timman,1951-12-14
Artyom Timofeev (chess player),1985-01-06
Gennadij Timoscenko,1949-04-27
Georgy Timoshenko?action=edit&redlink=1,
Jingyao Tin,2000-07-13
Raj Tischbierek,1962-09-24
Jonathan Tisdall,1958-08-26
Petr Tishin?action=edit&redlink=1,
Sergei Tiviakov,1973-02-14
Vladislav Tkachiev,1973-11-09
Miodrag Todorcevic,
Todor Todorov (chess player)?action=edit&redlink=1,
Goran Todorović?action=edit&redlink=1,
Tibor Tolnai?action=edit&redlink=1,
Alexander Tolush,1910-05-01
Evgeny Tomashevsky,1987-07-01
Jacek Tomczak (chess player),1990-03-05
Veselin Topalov,1975-03-15
Carlos Torre Repetto,1904-11-29
Eugenio Torre,1951-11-04
Miroslav Tošić?action=edit&redlink=1,
Leonid Totsky?action=edit&redlink=1,
Homayoon Toufighi,1990-03-21
Predrag Trajković?action=edit&redlink=1,
Trần Tuấn Minh,1997-10-21
Marko Tratar?action=edit&redlink=1,
Pavel Tregubov,1971-12-21
Petar Trifunović,1910-08-31
Georgi Tringov,
Leonardo Tristán?action=edit&redlink=1,
Kayden Troff,1998-05-06
Mark Tseitlin,1943-09-23
Vitaly Tseshkovsky,1944-09-25
Zhamsaran Tsydypov?action=edit&redlink=1,
Từ Hoàng Thông,1972-06-22
Adam Tukhaev?action=edit&redlink=1,
Vladimir Tukmakov,
Gennady Tunik?action=edit&redlink=1,
Matthew Turner (chess player)?action=edit&redlink=1,
Maxim Turov,1979-12-07
Dimitri Tyomkin,1977-03-25
Elizbar Ubilava,1950-08-27
Mijo Udovčić,1920-09-11
Wolfgang Uhlmann,1935-03-29
Mikhail Ulibin,1971-05-31
Wolfgang Unzicker,1925-06-26
Henry Urday Cáceres?action=edit&redlink=1,
Frode Urkedal,1993-05-14
Anna Ushenina,1985-08-30
Maxime Vachier-Lagrave,1990-10-21
László Vadász,1948-01-27
Rafael Vaganian,1951-10-15
Suri Vaibhav?action=edit&redlink=1,
Anatoly Vaisser,
Levente Vajda,1981-02-13
Jahongir Vakhidov,
Tahir Vakhidov?action=edit&redlink=1,
Diego Valerga?action=edit&redlink=1,
Francisco Vallejo Pons,1982-08-21
Alessio Valsecchi?action=edit&redlink=1,
Erik van den Doel,1979-05-15
Paul van der Sterren,1956-03-17
Karel van der Weide?action=edit&redlink=1,
John van der Wiel,1959-08-09
Jorden van Foreest,1999-04-30
Lucas van Foreest,2001-03-03
Robin van Kampen,1994-11-14
Loek van Wely,1972-10-07
Viktor Varavin?action=edit&redlink=1,
Zoltán Varga (chess player),
Milen Vasilev (chess player)?action=edit&redlink=1,
Evgeni Vasiukov,1933-03-05
Rodrigo Vásquez Schroeder,1969-12-06
Alexander Vaulin?action=edit&redlink=1,
Maxim Vavulin,1998-05-06
Guillermo Vázquez (chess player),1997-03-16
Renier Vázquez Igarza,
Petr Velička,1967-02-26
Petar Velikov,
Dragoljub Velimirović,1942-05-12
Paul Velten?action=edit&redlink=1,
M. R. Venkatesh?action=edit&redlink=1,
Reynaldo Vera González-Quevedo,1961-01-07
Deivy Vera Sigueñas,1992-01-18
Clovis Vernay?action=edit&redlink=1,
Giovanni Vescovi,1978-06-14
Volodymyr Vetoshko?action=edit&redlink=1,
Milan Vidmar,
Vignesh N R?action=edit&redlink=1,
Xavier Vila Gazquez,1990-03-08
Buenaventura Villamayor,1967-05-04
Visakh N. R.?action=edit&redlink=1,
Vishnu Prasanna V.?action=edit&redlink=1,
Yge Visser,1963-07-29
Nikita Vitiugov,1987-02-04
Yevgeniy Vladimirov,1957-01-20
Daniele Vocaturo,1989-12-16
Lothar Vogt,1952-01-17
Stanislav Voitsekhovsky?action=edit&redlink=1,
Marek Vokáč,
Sergey Vokarev?action=edit&redlink=1,
Shamsiddin Vokhidov,2002-01-11
Sergey Volkov (chess player),1974-02-07
Aleksandr Volodin (chess player),1990-12-10
Andrei Volokitin,1986-06-18
Leon Voloshin (chess player)?action=edit&redlink=1,
Alexander Volzhin,1971-02-02
Evgeny Vorobiov,1971-12-13
Pavlo Vorontsov?action=edit&redlink=1,
Vladislav Vorotnikov,
Jan Votava?action=edit&redlink=1,
Andrey Vovk,1991-11-22
Yuri Vovk,1988-11-11
Liam Vrolijk?action=edit&redlink=1,
Bojan Vučković,
Milan Vukić,
Arkadi Eremeevich Vul?action=edit&redlink=1,
Spartak Vysochin?action=edit&redlink=1,
Alexey Vyzmanavin,1960-01-01
Dennis Wagner (chess player),1997-06-19
Utut Adianto,1965-03-16
Matthias Wahls,1968-01-25
Wan Yunguo,
Wang Hao (chess player),1989-08-04
Wang Rui (chess player),1978-04-18
Wang Yue (chess player),1987-03-31
Wang Zili,1968-06-14
Tomasz Warakomski,1989-06-22
Chris Ward (chess player),
Max Warmerdam,2000-03-30
William Watson (chess player),
Tom Wedberg,1953-11-26
Wei Yi,1999-06-02
Peter Wells (chess player),1965-04-17
Wen Yang (chess player),1988-07-07
Jan Werle,1984-01-15
Jonathan Westerberg?action=edit&redlink=1,
Heikki Westerinen,1944-04-27
Oskar Wieczorek,1994-06-13
Michael Wilder,
Simon Williams (chess player),1979-11-30
Luc Winants,1963-01-01
Anthony Wirig?action=edit&redlink=1,
Radosław Wojtaszek,1987-01-13
Aleksander Wojtkiewicz,1963-01-15
Patrick Wolff,1968-02-15
Mathias Womacka?action=edit&redlink=1,
Wong Meng Kong,1963-09-18
Wu Shaobin,1969-02-04
Wu Wenjin,1976-03-10
Xie Jun,1970-10-30
Jeffery Xiong,2000-10-30
Xiu Deshun,1989-02-01
Xu Jun,1962-09-17
Xu Xiangyu,1999-09-19
Xu Yi (chess player)?action=edit&redlink=1,
Xu Yinglun?action=edit&redlink=1,
Xu Yuhua,1976-10-29
Igor Yagupov?action=edit&redlink=1,
Yuri Yakovich,1962-11-30
Nodirbek Yakubboev,2002-01-23
Valeri Yandemirov,1963-02-11
Darwin Yang,1996-12-04
Yang Kaiqi,1988-05-06
Lev Yankelevich?action=edit&redlink=1,
Daniel Yanofsky,1925-03-25
Ye Jiangchuan,1960-11-20
Ye Rongguang,1963-10-03
Arsen Yegiazarian,1970-06-18
Vasily Yemelin,
Alex Yermolinsky,1958-04-11
Denis Yevseev?action=edit&redlink=1,
Mustafa Yılmaz,1992-11-05
Mert Yılmazyerli,1992-09-17
Christopher Woojin Yoo,2006-12-19
Jouni Yrjölä?action=edit&redlink=1,
Yu Ruiyuan,1991-09-13
Yu Shaoteng,1979-03-26
Yu Yangyi,1994-06-08
Leonid Yudasin,1959-08-08
Sergei Yudin (chess player)?action=edit&redlink=1,
Daniil Yuffa,1997-02-25
Leonid Yurtaev,1959-04-03
Sergei Zablotsky?action=edit&redlink=1,
Amir Zaibi,1988-05-22
Darius Zagorskis,1969-11-20
Sergey Zagrebelny,1965-04-09
Gennadi Zaichik,1957-02-11
Alexander Zaitsev (chess player),
"Alexander Zaitsev (chess player, born 1985)?action=edit&redlink=1",
Igor Zaitsev,1938-05-27
Ivan Žaja?action=edit&redlink=1,
Milan Zajić?action=edit&redlink=1,
Igor Zakharevich,
Viacheslav Zakhartsov,1968-03-30
Vladimir Zakhartsov?action=edit&redlink=1,
Oswaldo Zambrana,
Evgeny Zanan,1998-02-05
Alonso Zapata,1958-08-22
Ilja Zaragatski?action=edit&redlink=1,
Pablo Zarnicki,
Zaw Win Lay,1963-10-22
Mikhail Tseitlin,
Robert Zelčić?action=edit&redlink=1,
Elmārs Zemgalis,1923-09-09
Zeng Chongsheng,1993-06-10
Jurij Zezulkin,1971-08-16
Zhang Pengxiang,1980-06-29
Zhang Zhong,1978-09-05
Zhao Jun (chess player),1986-12-12
Zhao Xue,1985-04-06
Zhao Zong-Yuan,1986-06-26
Yaroslav Zherebukh,1993-07-14
Andrey Zhigalko?action=edit&redlink=1,
Sergei Zhigalko,1989-03-28
Zhou Jianchao,1988-06-11
Zhou Weiqi,1986-10-01
Zhu Chen,1976-03-13
Natalia Zhukova,1979-06-05
Raset Ziatdinov,1958-12-27
Steven Zierk,1993-08-27
Dov Zifroni?action=edit&redlink=1,
Yaacov Zilberman,
Štěpán Žilka,1988-11-11
Yaroslav Zinchenko?action=edit&redlink=1,
Helgi Dam Ziska,1990-07-27
Aleksandr Zlochevsky?action=edit&redlink=1,
Dan Zoler,1974-01-10
Andrey Zontakh?action=edit&redlink=1,
Alexander Zubarev,1979-12-17
Oleksandr Zubov?action=edit&redlink=1,
Vadim Zvjaginsev,1976-08-18
